Iteration,Heuristic Value,Restarted,Inner Iteration,Time
850,8,24,4,5205.0000
851,10,24,5,5211.0000
852,12,24,6,5218.0000
853,14,24,7,5224.0000
854,16,24,8,5230.0000
855,18,24,9,5238.0000
856,20,24,10,5243.0000
857,21,24,11,5250.0000
858,22,24,12,5253.0000
859,23,24,13,5260.0000
860,24,24,14,5264.0000
861,25,24,15,5272.0000
862,26,24,16,5274.0000
863,27,24,17,5282.0000
864,28,24,18,5284.0000
865,29,24,19,5294.0000
866,30,24,20,5300.0000
867,31,24,21,5303.0000
868,32,24,22,5311.0000
869,33,24,23,5314.0000
870,34,24,24,5322.0000
871,35,24,25,5327.0000
872,36,24,26,5334.0000
873,36,24,27,5339.0000
874,37,24,28,5346.0000
875,38,24,29,5352.0000
876,38,24,30,5357.0000
877,2,25,1,5364.0000
878,4,25,2,5370.0000
879,6,25,3,5377.0000
880,8,25,4,5384.0000
881,9,25,5,5391.0000
882,11,25,6,5394.0000
883,12,25,7,5403.0000
884,13,25,8,5409.0000
885,14,25,9,5417.0000
886,15,25,10,5423.0000
887,16,25,11,5430.0000
888,18,25,12,5437.0000
889,19,25,13,5442.0000
890,20,25,14,5448.0000
891,21,25,15,5448.0000
892,23,25,16,5459.0000
893,24,25,17,5464.0000
894,25,25,18,5466.0000
895,26,25,19,5475.0000
896,27,25,20,5481.0000
897,29,25,21,5485.0000
898,30,25,22,5492.0000
899,31,25,23,5496.0000
900,32,25,24,5504.0000
901,33,25,25,5510.0000
902,34,25,26,5517.0000
903,35,25,27,5521.0000
904,36,25,28,5529.0000
905,37,25,29,5534.0000
906,38,25,30,5541.0000
907,38,25,31,5545.0000
908,2,26,1,5553.0000
909,4,26,2,5560.0000
910,6,26,3,5564.0000
911,8,26,4,5572.0000
912,10,26,5,5575.0000
913,12,26,6,5585.0000
914,14,26,7,5587.0000
915,16,26,8,5595.0000
916,17,26,9,5599.0000
917,18,26,10,5606.0000
918,19,26,11,5612.0000
919,21,26,12,5617.0000
920,22,26,13,5623.0000
921,23,26,14,5629.0000
922,24,26,15,5634.0000
923,25,26,16,5641.0000
924,26,26,17,5646.0000
925,27,26,18,5648.0000
926,28,26,19,5657.0000
927,29,26,20,5664.0000
928,30,26,21,5669.0000
929,31,26,22,5675.0000
930,32,26,23,5679.0000
931,33,26,24,5687.0000
932,34,26,25,5693.0000
933,35,26,26,5697.0000
934,36,26,27,5705.0000
935,37,26,28,5709.0000
936,38,26,29,5717.0000
937,39,26,30,5721.0000
938,39,26,31,5729.0000
939,2,27,1,5734.0000
940,4,27,2,5744.0000
941,6,27,3,5745.0000
942,7,27,4,5754.0000
943,8,27,5,5757.0000
944,10,27,6,5765.0000
